,is_spam,message,num_words,message_len,nb_tokenized_words,message_cleaned,XLM_en_embed
12,1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",31,156,26,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","[-1.0525568  -0.39826503 -2.0679736  ...  0.339239   -3.3206398
 -0.03101717]"
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,38,196,37,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,[-1.5958922 -0.6125533 -2.3403916 ... -1.0869112 -1.2446545 -0.6153574]
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,8,35,8,I HAVE A DATE ON SUNDAY WITH WILL!!,"[ 0.4204363  -0.6893946  -4.7792473  ... -2.4973938  -0.38746557
  3.3710008 ]"
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",23,149,19,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",[-1.413484   2.4834578 -2.8746562 ... -1.1568321  1.8590977  2.2309718]
16,0,Oh k...i'm watching here:),6,26,4,Oh k...i'm watching here:),"[-2.8492117   1.4264777  -2.0181181  ... -1.8981373  -0.71156996
 -0.4542722 ]"
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,81,19,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"[-1.8298154   0.25432852 -2.9339514  ... -2.3606966  -0.7617597
  0.02369168]"
18,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,13,58,13,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,"[-0.5548013   0.16204506 -2.7649906  ...  0.48938426  0.11688351
 -3.812712  ]"
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",27,156,24,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",[ 2.505091   1.5719756 -2.1716027 ... -3.941586  -0.3744438  3.303196 ]
20,0,Is that seriously how you spell his name?,8,41,8,Is that seriously how you spell his name?,"[-0.19267389  2.315718   -4.604831   ... -2.6019678   0.08028393
  0.06955715]"
21,0,IÛ÷m going to try for 2 months ha ha only joking,13,49,11,IÛ÷m going to try for 2 months ha ha only joking,"[ 0.75672793  0.36993924 -2.1303039  ...  1.3040558  -1.0005124
  3.346436  ]"
22,0,So Ì_ pay first lar... Then when is da stock comin...,11,53,11,So Ì_ pay first lar... Then when is da stock comin...,"[-1.7680833  -0.8212017  -6.639771   ... -0.15807548 -1.4426054
 -0.4207424 ]"
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,88,20,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"[ 0.48240122 -0.02181901 -5.129099   ... -0.3563034   0.3216649
  0.17842548]"
24,0,Ffffffffff. Alright no way I can meet up with you sooner?,11,57,11,Ffffffffff. Alright no way I can meet up with you sooner?,"[ 0.31643403  0.47898313 -0.7763999  ...  0.0351608  -1.6591438
 -0.24806714]"
25,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,30,144,28,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"[ 0.36105582  1.001661   -0.11899556 ... -3.578749    0.79459447
  1.126273  ]"
26,0,Lol your always so convincing.,5,30,5,Lol your always so convincing.,"[ 0.7640857   3.0332239  -5.797289   ...  1.0981259   1.3812621
  0.53723586]"
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,29,134,32,Did you catch the bus? Are you frying an egg? Did you make a tea? Are you eating your mom's left over dinner? Do you feel my Love?,"[-4.2777996   1.8435359  -5.850148   ...  0.45490503  0.53645134
 -1.4476523 ]"
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",19,75,15,"I'm back &amp; we're packing the car now, I'll let you know if there's room","[-3.5590138   1.5646126  -9.126414   ... -0.54570204  0.51068354
  3.828977  ]"
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,64,12,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,"[-0.5562237   3.3672998  -1.0666727  ... -0.5709628  -1.5445079
 -0.90278304]"
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",29,130,26,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","[-2.8073883   0.13554439 -2.9883933  ... -1.7439561   0.7536643
 -3.115783  ]"
31,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,42,189,42,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,[ 0.7989694  1.7694838 -5.865311  ...  1.1425699  0.7842278  4.3559065]
32,0,K tell me anything about you.,6,29,6,K tell me anything about you.,"[-1.1485908  -0.9956039  -2.5546086  ...  1.4328554  -0.6771387
  0.70351934]"
33,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,84,17,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"[-0.39467964  2.601375    4.576029   ... -3.2103603  -1.273129
  2.6741514 ]"
34,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,31,159,29,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"[-3.744578   -0.97060096 -1.7744066  ... -2.1591988  -0.84530944
  2.5018263 ]"
35,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,123,28,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"[-0.37553462  2.5325553   0.45510423 ...  2.8528178   0.45470372
  0.11580984]"
36,0,"Oops, I'll let you know when my roommate's done",11,47,9,"Oops, I'll let you know when my roommate's done","[-0.05847052 -0.05809836 -1.605348   ... -1.1864108  -0.09438824
 -1.8636422 ]"
37,0,I see the letter B on my car,8,28,8,I see the letter B on my car,"[-2.0302217   0.50241613 -1.4408448  ... -0.88136667  0.81520665
  1.5184741 ]"
38,0,Anything lor... U decide...,4,27,4,Anything lor... U decide...,"[-2.6897902   2.8066232  -6.065565   ...  2.2846675  -1.6088221
 -0.91222703]"
39,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,33,155,30,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"[-1.1231698  -1.4626751  -1.5760453  ... -3.348716   -0.10939585
  1.477283  ]"
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,82,17,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"[ 0.88331217 -0.25645053  3.9421062  ... -3.619683   -0.22048202
 -0.9278863 ]"
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",28,142,34,"Did I forget to tell you? I want you, I need you, I crave you... But most of all... I love you my sweet Arabian steed... Mmmmmm... Yummy","[-4.333396    0.80350965 -7.000603   ...  0.8723859   0.23673223
 -1.7919016 ]"
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,29,172,33,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"[-4.4928484   2.9645889  -6.3291526  ... -2.1139858  -1.6828134
 -0.82979023]"
43,0,WHO ARE YOU SEEING?,4,19,4,WHO ARE YOU SEEING?,[-4.140581   2.3835375 -2.9351308 ... -3.8799841 -3.5131998 -2.6525757]
44,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,14,72,15,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"[-1.8835537  -0.64357144 -3.4265141  ...  0.708621   -0.18812707
 -0.7634724 ]"
45,0,No calls..messages..missed calls,5,32,3,No calls..messages..missed calls,"[-4.274729   -0.77548254  0.9413581  ... -2.0233488  -1.3998765
 -1.0873747 ]"
46,0,Didn't you get hep b immunisation in nigeria.,9,45,8,Didn't you get hep b immunisation in nigeria.,"[ 0.56619865  0.352424   -9.292576   ... -0.79926527  1.6586497
 -1.6875942 ]"
47,0,"Fair enough, anything going on?",5,31,5,"Fair enough, anything going on?","[-2.3925028   3.6721926   3.5249143  ...  1.0807908   0.6473452
  0.40076706]"
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",15,67,14,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",[ 3.1501641  2.5155056 -1.9000374 ... -1.6655692 -1.0764922  2.3424964]
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,33,148,30,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"[-2.579393    1.2217771  -3.5245483  ...  0.1831934   1.1625522
 -0.23487508]"
50,0,What you thinked about me. First time you saw me in class.,12,58,12,What you thinked about me. First time you saw me in class.,"[ 0.7491264   2.4803436  -4.1609526  ... -0.98645645  1.7474327
  0.9235815 ]"
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",24,124,25,"A gram usually runs like  &lt;#&gt;, a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","[-2.9444573  -0.1456019  -1.3876821  ...  0.63184655  1.3486483
  0.04607532]"
52,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,17,80,16,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"[ 0.20873815  0.52925813 -4.6630177  ... -2.648059   -0.01844433
  2.3346    ]"
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",60,291,55,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","[ 4.263756   -1.8701077   9.484751   ... -2.7983859  -0.80273855
 -0.35784757]"
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,120,22,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,[-0.80646    1.0741179 -2.978934  ...  0.5384576  0.3641313 -2.0119243]
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,14,76,14,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,[-2.9108768  2.3944368 -4.0014544 ...  0.3095439 -0.879159  -0.9190619]
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",29,161,28,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","[ 1.1679295   0.43056086 -6.785465   ... -1.1132793  -0.9926919
  1.0496328 ]"
57,0,"Sorry, I'll call later in meeting.",7,34,6,"Sorry, I'll call later in meeting.","[-0.73783815  0.8070625  -3.4189465  ... -3.33682    -1.5548997
 -0.40647268]"
58,0,Tell where you reached,4,22,4,Tell where you reached,"[-0.8579833   3.5577493   2.8451304  ... -0.06257338 -0.08045479
  0.7933629 ]"
59,0,Yes..gauti and sehwag out of odi series.,8,40,7,Yes..gauti and sehwag out of odi series.,"[-1.197622    2.131723   -0.6874297  ...  2.858178    0.10763592
  1.0356345 ]"
60,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,24,108,23,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,"[-0.5575794   0.25118995 -3.8043206  ... -1.5322692  -1.5936588
 -0.66710067]"
61,0,Ha ha ha good joke. Girls are situation seekers.,9,48,9,Ha ha ha good joke. Girls are situation seekers.,"[-0.8189552   2.5737906  -2.8704178  ... -4.226378    0.97032547
  0.47100204]"
62,0,Its a part of checking IQ,6,25,6,Its a part of checking IQ,"[ 0.68644774 -0.26026002 -1.4126323  ... -0.88287574 -0.46427107
 -0.79135585]"
63,0,"Sorry my roommates took forever, it ok if I come by now?",12,56,12,"Sorry my roommates took forever, it ok if I come by now?","[-0.12583233  0.6535007  -5.0501323  ... -1.1027923  -1.0218104
  1.9501071 ]"
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,110,24,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"[ 0.8173746   0.5798705  -2.5984302  ...  0.6859225   0.23462659
 -1.2206266 ]"
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",29,153,28,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589","[-0.91569185  1.6386858   3.434844   ... -3.2952847  -1.124316
  0.8618416 ]"
66,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",23,124,23,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","[ 0.818484   -2.9066687  -6.75699    ... -2.3880343   0.44339964
  1.5799826 ]"
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",30,161,22,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","[-0.57860154  1.3186551  -3.7597103  ... -0.16493589 -1.9590814
 -0.08617356]"
68,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",16,80,15,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",[-0.6385778 -1.7152398 -2.9572687 ...  0.410982   0.8297496 -0.6876757]
69,0,I plane to give on this month end.,8,34,8,I plane to give on this month end.,"[ 3.0273745   1.3084937  -3.524765   ... -1.5087386   0.10526931
  0.4681462 ]"
70,0,Wah lucky man... Then can save money... Hee...,8,46,8,Wah lucky man... Then can save money... Hee...,"[-0.22829778  0.1852852  -5.480007   ... -1.8685296   0.67649573
 -1.8673322 ]"
71,0,Finished class where are you.,5,29,5,Finished class where are you.,"[-0.5655548   2.2881446  -3.0187266  ...  1.0694269   0.43691802
  0.91164297]"
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,45,10,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"[-0.90134597 -2.092373   -1.0177829  ...  1.1823968   0.1100661
  3.8388436 ]"
73,0,K..k:)where are you?how did you performed?,9,42,6,K..k:)where are you?how did you performed?,"[-0.05010647  1.1024017  -1.0486515  ... -3.2282636  -0.96429795
 -0.8826665 ]"
74,0,U can call me now...,5,20,5,U can call me now...,"[ 1.3044344e-01 -4.3485248e-03 -6.2673702e+00 ...  8.2280600e-01
 -1.6227256e-01 -1.7522466e+00]"
75,0,I am waiting machan. Call me once you free.,9,43,9,I am waiting machan. Call me once you free.,"[ 2.4014704   0.60325205 -2.4065745  ... -1.701601   -0.6916508
  0.17190059]"
76,0,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,73,14,Thats cool. i am a gentleman and will treat you with dignity and respect.,"[-0.00668824 -0.13671052 -0.5769039  ... -1.7691203   1.5492407
 -3.2189903 ]"
77,0,I like you peoples very much:) but am very shy pa.,11,50,11,I like you peoples very much:) but am very shy pa.,[ 1.927313   2.5595195 -6.613576  ... -0.5158388  0.8737715 -1.0537065]
78,0,Does not operate after  &lt;#&gt;  or what,8,42,9,Does not operate after  &lt;#&gt;  or what,"[-4.0707293   0.13840102 -1.7021143  ...  2.3962436  -0.6961035
  1.0917548 ]"
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,17,76,16,Its not the same here. Still looking for a job. How much do Ta's earn there.,"[-2.7138386   2.9714592  -6.2277584  ...  3.2004664  -0.08066858
  1.4346926 ]"
80,0,"Sorry, I'll call later",5,22,4,"Sorry, I'll call later",[-1.5344676 -2.265978  -3.9961846 ... -1.9025784  1.0547373  2.0193841]
81,0,K. Did you call me just now ah? ,8,32,9,K. Did you call me just now ah? ,[-5.083473   0.6079646  0.3594889 ... -5.146291  -0.5100326 -2.4966874]
82,0,Ok i am on the way to home hi hi,10,32,10,Ok i am on the way to home hi hi,"[-1.7196431   1.4024341  -2.6860526  ...  0.34367764  0.5210188
  3.7186258 ]"
83,0,You will be in the place of that man,9,36,9,You will be in the place of that man,"[ 0.39945167  1.9478372  -6.0878377  ...  1.4389616   1.7742665
 -0.13989367]"
84,0,Yup next stop.,3,14,3,Yup next stop.,[ 0.8195134  1.4411438 -5.2243223 ...  2.6047924 -1.2494532 -1.2544823]
85,0,"I call you later, don't have network. If urgnt, sms me.",12,55,11,"I call you later, don't have network. If urgnt, sms me.",[-3.1752589  1.3455942 -1.8592796 ... -0.8620213  2.7175384 -1.4172323]
86,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,27,121,26,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"[ 1.4931582   4.6215787  -3.8460748  ... -0.981158    1.6093313
 -0.08560635]"
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,32,144,31,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"[-0.63853073  0.34559846 -1.3169309  ... -1.3973801  -0.50128865
  1.4469482 ]"
88,0,I'm really not up to it still tonight babe,10,42,9,I'm really not up to it still tonight babe,[-4.6462946  1.7788211  2.8855047 ... -0.7960056 -1.1256509  3.0487008]
89,0,"Ela kano.,il download, come wen ur free..",8,41,7,"Ela kano.,il download, come wen ur free..","[ 0.6583489   1.1702158  -4.6689434  ...  2.1512747  -1.0439278
  0.20782779]"
90,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,14,62,10,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,"[ 0.6301934  -1.6794815  -6.4424644  ...  0.48031077 -0.42468572
 -1.1649789 ]"
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,40,195,40,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,[-3.3943052  1.5635675 -1.4507838 ... -2.4989293  1.7591124  1.2355502]
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,141,26,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"[-0.42201945  1.1156954  -2.8396327  ... -3.2389069   2.8703854
  1.6001731 ]"
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,26,139,23,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,"[-0.26096553 -0.2464387  -4.0892353  ... -0.3273972   0.75275546
 -1.3413087 ]"
94,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,107,20,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,"[-0.05895376  2.9215698  -4.2066817  ...  1.7883141  -0.46728018
  0.17144826]"
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",22,125,22,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",[-1.5972092  0.8858244 -3.1967037 ... -1.5906589  1.0149952  1.0698051]
96,0,Watching telugu movie..wat abt u?,6,33,5,Watching telugu movie..wat abt u?,[-1.8282493 -1.2858485 -5.9621224 ...  0.0703766  0.3842361 -2.1951911]
97,0,i see. When we finish we have loads of loans to pay,12,51,12,i see. When we finish we have loads of loans to pay,"[-0.68893623  2.1132607   1.0189852  ...  1.5603623  -0.72584623
  3.487576  ]"
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",38,184,38,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""","[-1.7459506   0.02065079 -0.875185   ...  0.8892124  -0.9084804
  0.4575365 ]"
99,0,Please don't text me anymore. I have nothing else to say.,12,57,11,Please don't text me anymore. I have nothing else to say.,"[-0.27215904  0.11960925 -2.8155792  ... -3.6076057   0.3844397
 -3.650201  ]"
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,81,21,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,[-1.7907759 -0.0472067  1.2351798 ...  1.0111144  0.5528289 -3.2117183]
101,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,17,76,16,I'm still looking for a car to buy. And have not gone 4the driving test yet.,[-0.8809897  3.2335265 -3.8159091 ... -2.618571  -1.4601583  1.1551707]
102,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,160,26,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"[-0.32806164  0.70732147 -2.4680822  ... -0.7533286   1.14477
 -0.62494725]"
103,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",38,183,36,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","[-2.5483685e+00  1.0776038e+00 -1.1620028e+00 ...  1.2461170e+00
  6.5695763e-01  2.4252669e-03]"
104,0,Umma my life and vava umma love you lot dear,10,44,10,Umma my life and vava umma love you lot dear,"[ 0.04529924  2.0385096  -7.986984   ... -1.6023657   2.3497756
  2.757798  ]"
105,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,95,17,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,"[-0.24539505  2.3207211  -1.0192522  ...  0.8602913   1.3465458
  1.3173811 ]"
106,0,"Aight, I'll hit you up when I get some cash",11,43,10,"Aight, I'll hit you up when I get some cash","[-1.0113245   3.030665   -3.6693757  ... -0.7736364  -2.1722822
 -0.12083386]"
